TIMESTAMP,PRESSURE,GYRO_X,GYRO_Y,GYRO_Z,ACCEL_X,ACCEL_Y,ACCEL_Z,VOLTAGE,CURRENT,GPS_TIME,GPS_ALTITUDE,GPS_LATITUDE,GPS_LONGITUDE,GPS_SATS
0.0,92446.6,-0.02,0.0,-0.01,-0.1,0.4,-9.61,8.2,0.15,17:03:02,820.4,38.3757,-79.6074,12
1.0,92447.3,-0.03,0.0,-0.02,-0.08,0.39,-9.61,8.2,0.14,17:03:03,820.4,38.3757,-79.6074,12
2.01,92443.5,-0.03,0.0,-0.02,-0.05,0.35,-9.59,8.2,0.15,17:03:04,820.3,38.3757,-79.6074,12
3.01,92434.9,0.15,-0.06,1.42,1.67,-1.72,-114.77,8.2,0.14,17:03:05,820.4,38.3757,-79.6074,12
4.01,91419.7,0.36,-0.04,-4.78,-7.1,-5.7,-48.01,8.2,0.14,17:03:06,821.2,38.3757,-79.6073,12
5.01,90155.3,0.74,-0.08,-4.9,-6.78,-0.13,19.3,8.2,0.14,17:03:07,0.0,0.0,0.0,12
6.01,88960.8,0.3,-0.13,-4.03,-2.04,0.0,11.68,8.1,0.51,17:03:08,822.9,38.3757,-79.6073,12
7.01,88007.2,0.26,-0.08,-3.26,-1.24,0.76,8.54,8.2,0.24,17:03:09,825.3,38.3757,-79.6073,12
8.01,87172.8,0.21,0.16,-2.57,-1.31,-0.19,5.54,8.2,0.24,17:03:10,828.2,38.3758,-79.6073,12
9.01,86342.1,-0.02,0.04,-2.24,-1.5,-0.88,4.21,8.1,1.38,17:03:11,835.4,38.3758,-79.6072,12
10.01,85841.5,0.1,0.1,-1.83,-1.23,0.39,2.36,8.0,1.82,17:03:12,1463.1,38.3765,-79.6067,12
11.01,85453.7,0.0,0.12,-1.5,-0.63,-0.08,1.54,8.1,1.54,17:03:13,1505.9,38.3766,-79.6066,12
12.01,85149.4,-0.19,-0.01,-1.19,-0.16,0.08,0.74,8.1,1.51,17:03:14,1534.2,38.3767,-79.6066,12
13.01,84935.6,-0.25,-0.02,-0.81,-0.25,0.16,0.43,8.1,1.46,17:03:15,1561.3,38.3768,-79.6065,12
14.01,84736.9,-0.25,-0.43,-0.94,0.55,-1.19,-2.21,8.1,1.32,17:03:16,1584.3,38.3769,-79.6064,12
15.01,84743.1,1.92,3.51,-0.15,-2.56,-2.83,1.36,8.1,0.2,17:03:17,1602.3,38.377,-79.6063,12
16.01,84791.1,1.89,1.47,-2.91,-0.34,-1.99,6.91,8.2,0.21,17:03:18,1615.6,38.377,-79.6061,12
17.01,84861.3,0.69,2.21,-2.94,-0.79,-2.74,10.86,8.2,0.21,17:03:19,1610.0,38.3772,-79.6061,12
18.01,84915.4,0.87,0.89,-3.38,-0.34,-3.0,9.68,8.1,1.12,17:03:20,1602.2,38.3773,-79.6061,12
19.01,84983.1,0.68,1.24,-3.95,-0.9,-1.22,9.42,8.2,0.2,17:03:21,1596.1,38.3773,-79.606,12
20.01,85068.8,-1.65,-1.08,-3.45,-0.21,4.31,9.34,8.1,0.74,17:03:22,1576.0,38.3772,-79.606,12
21.01,85142.8,0.74,-1.4,-3.53,-0.73,3.64,8.75,8.1,0.2,17:03:23,1549.7,38.3772,-79.6059,12
22.01,85144.7,-0.19,-1.88,-3.15,-0.49,4.9,11.5,8.1,0.2,17:03:24,1536.8,38.3772,-79.6059,12
23.01,85272.1,0.22,-1.17,-4.27,-1.4,0.23,10.76,8.1,0.2,17:03:25,1529.0,38.3772,-79.6058,12
25.01,85327.3,-1.96,-0.61,-5.84,-1.09,0.25,10.46,8.1,0.2,17:03:26,1522.2,38.3772,-79.6058,12
26.01,85363.5,0.54,1.52,-6.28,-1.86,-0.23,9.45,8.1,0.19,17:03:27,1515.7,38.3772,-79.6057,12
27.01,85416.7,0.54,0.45,-6.32,-1.05,0.06,8.97,8.2,0.19,17:03:28,1509.7,38.3772,-79.6057,12
28.01,85435.7,1.8,0.68,-6.46,-1.77,-0.02,10.3,8.2,1.39,17:03:29,1503.0,38.3773,-79.6056,12
